bucket,n,mean_prob,win_rate
"(-0.001, 0.1]",2872,0.05090236637344776,0.024721448467966575
"(0.1, 0.2]",3465,0.15085259995187827,0.11572871572871572
"(0.2, 0.3]",4413,0.252110820993958,0.25832766825288916
"(0.3, 0.4]",4519,0.3502098014657409,0.35118389024120383
"(0.4, 0.5]",5274,0.45273073710891454,0.44520288206295033
"(0.5, 0.6]",4543,0.5509946610203119,0.5335681267884658
"(0.6, 0.7]",4012,0.6481781547822877,0.6535393818544367
"(0.7, 0.8]",3627,0.7468186168780911,0.7606837606837606
"(0.8, 0.9]",2761,0.8496045496330641,0.8822890257153205
"(0.9, 1.0]",2444,0.9521464256584675,0.9668576104746317
