bucket,n,mean_prob,win_rate
"(-0.001, 0.1]",13,0.030369491767537955,0.0
"(0.1, 0.2]",8,0.14117743764481594,0.0
"(0.2, 0.3]",25,0.25665524798598577,0.28
"(0.3, 0.4]",53,0.3590310573093415,0.37735849056603776
"(0.4, 0.5]",154,0.45867262219572724,0.43506493506493504
"(0.5, 0.6]",85,0.5592451485953702,0.4823529411764706
"(0.6, 0.7]",51,0.6401474657255787,0.6666666666666666
"(0.7, 0.8]",13,0.7410721537002285,1.0
"(0.8, 0.9]",13,0.8510893630984111,0.9230769230769231
"(0.9, 1.0]",25,0.9697659252707628,1.0
